Currency Code|Conversion Rate|Base Currency|Conversion Date|Load Timestamp
BGN|1.7262135922|USD|2020-06-05|2020-06-07 02:07:22.694402
TRY|6.7737864078|USD|2020-06-05|2020-06-07 02:07:22.694406
CNY|7.0917034422|USD|2020-06-05|2020-06-07 02:07:22.694410
NOK|9.3030008826|USD|2020-06-05|2020-06-07 02:07:22.694413
NZD|1.5350397176|USD|2020-06-05|2020-06-07 02:07:22.694417
ZAR|16.8422771403|USD|2020-06-05|2020-06-07 02:07:22.694421
USD|1.0|USD|2020-06-05|2020-06-07 02:07:22.694424
MXN|21.7533980583|USD|2020-06-05|2020-06-07 02:07:22.694428
SGD|1.392321271|USD|2020-06-05|2020-06-07 02:07:22.694432
AUD|1.4322153575|USD|2020-06-05|2020-06-07 02:07:22.694435
ILS|3.4573698147|USD|2020-06-05|2020-06-07 02:07:22.694439
KRW|1205.2691968226|USD|2020-06-05|2020-06-07 02:07:22.694443
PLN|3.9210061783|USD|2020-06-05|2020-06-07 02:07:22.694447
CAD|1.3448367167|USD|2020-06-05|2020-06-07 03:00:01.687537
HKD|7.7501323919|USD|2020-06-05|2020-06-07 03:00:01.687544
ISK|131.4210061783|USD|2020-06-05|2020-06-07 03:00:01.687549
PHP|49.8296557811|USD|2020-06-05|2020-06-07 03:00:01.687554
DKK|6.5811120918|USD|2020-06-05|2020-06-07 03:00:01.687558
HUF|304.1659311562|USD|2020-06-05|2020-06-07 03:00:01.687563
CZK|23.4677846425|USD|2020-06-05|2020-06-07 03:00:01.687567
GBP|0.7894792586|USD|2020-06-05|2020-06-07 03:00:01.687572
RON|4.2702559576|USD|2020-06-05|2020-06-07 03:00:01.687585
SEK|9.2012356575|USD|2020-06-05|2020-06-07 03:00:01.687589
IDR|14018.0052956752|USD|2020-06-05|2020-06-07 03:00:01.687594
INR|75.5781112092|USD|2020-06-05|2020-06-07 03:00:01.687599
BRL|5.059929391|USD|2020-06-05|2020-06-07 03:00:01.687603
